group,dose,temp,category,yield_pct
C,5.29,,x,71.88
C,5.72,25.6,x,66.36
C,6.68,23.0,x,68.24
B,2.83,25.8,x,66.41
A,9.66,27.2,y,85.04
C,3.6,25.1,y,62.89
B,3.75,26.5,y,72.21
C,3.31,23.4,x,61.13
B,1.61,18.6,y,66.07
A,4.81,27.7,x,70.37
B,7.95,27.1,y,81.04
B,7.39,25.4,x,85.4
B,2.76,25.2,x,65.49
B,2.23,28.1,x,63.48
A,3.89,23.6,x,58.76
A,7.91,22.9,x,74.16
C,5.39,24.4,x,70.36
C,9.31,28.6,x,74.54
B,6.91,20.8,y,80.71
A,6.59,28.6,y,72.48
B,7.91,23.1,x,82.42
B,7.75,21.7,x,71.97
B,4.09,28.8,y,68.68
A,3.31,24.7,x,63.19
A,4.94,21.1,y,62.76
C,5.4,23.9,x,67.64
A,2.28,27.8,x,47.78
C,4.97,28.6,x,68.59
B,6.76,23.7,x,74.98
A,2.22,26.2,x,60.59
C,2.24,27.1,x,49.8
C,2.56,23.1,y,60.96
C,3.55,26.1,y,60.41
C,9.66,24.9,x,84.14
C,1.23,23.4,y,50.23
C,2.65,23.5,x,56.01
A,2.49,25.2,x,66.94
C,5.27,25.1,x,63.54
C,1.14,23.3,x,50.82
C,5.12,23.7,y,65.28
C,2.47,28.3,y,53.81
C,3.43,25.6,x,65.74
C,8.13,27.7,x,82.92
C,2.66,28.6,y,55.7
B,6.55,26.8,y,70.06
C,4.66,31.8,y,69.6
C,4.76,22.5,y,69.67
A,8.35,27.4,y,80.01
A,2.45,24.0,y,62.47
A,9.31,30.6,y,76.32
A,9.04,30.1,x,78.25
B,7.01,19.1,x,72.9
A,1.45,22.1,y,48.97
A,6.97,,y,76.23
A,6.4,27.4,x,67.79
C,7.95,,x,84.56
A,2.92,24.8,x,59.64
C,9.58,26.4,y,78.09
A,8.98,27.0,x,81.93
C,2.03,24.8,y,63.7
B,3.84,28.1,x,70.23
A,1.29,18.2,y,49.26
A,8.48,26.9,y,78.62
A,9.24,21.9,x,85.07
B,9.91,27.9,x,85.74
A,6.51,24.3,x,67.74
A,6.99,22.3,y,76.43
A,7.11,26.1,x,73.31
C,6.13,22.3,x,65.21
A,9.57,22.3,x,79.11
A,6.47,20.3,x,67.68
B,4.02,24.9,y,70.05
A,5.62,26.5,y,68.42
B,1.17,28.1,y,64.35
C,7.52,24.6,y,76.9
C,7.25,28.1,y,66.95
B,4.79,25.1,x,72.96
